language,speaker_name,speaker_url,birth_place,native_language,other_languages,age_sex,age_onset,learning_method,english_residence,length_residence,mp3_url,mp3_file
gujarati,"gujarati1,",https://accent.gmu.edu/browse_language.php?function=detail&speakerid=198,"ahmedabad, india (map)",gujarati (guj),hindi-urdu,"20, male",15,academic,usa,0.5 years,https://accent.gmu.edu/soundtracks/gujarati1.mp3,reference/gujarati1__198.mp3
gujarati,"gujarati2,",https://accent.gmu.edu/browse_language.php?function=detail&speakerid=199,"bombay, india (map)",gujarati (guj),hindi-urdu sanskrit punjabi,"22, male",8,academic,usa,0.3 years,https://accent.gmu.edu/soundtracks/gujarati2.mp3,reference/gujarati2__199.mp3
gujarati,"gujarati3,",https://accent.gmu.edu/browse_language.php?function=detail&speakerid=200,"limerick, ireland (map)",gujarati (guj),hindi-urdu,"28, female",2,naturalistic,"india,usa,ireland",3 years,https://accent.gmu.edu/soundtracks/gujarati3.mp3,reference/gujarati3__200.mp3
gujarati,"gujarati4,",https://accent.gmu.edu/browse_language.php?function=detail&speakerid=610,"ahmedabad, india (map)",gujarati (guj),hindi,"53, female",16,academic,usa,22 years,https://accent.gmu.edu/soundtracks/gujarati4.mp3,reference/gujarati4__610.mp3
gujarati,"gujarati5,",https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1016,"bombay, india (map)",gujarati (guj),hindi marathi urdu,"28, female",3,academic,usa,4 years,https://accent.gmu.edu/soundtracks/gujarati5.mp3,reference/gujarati5__1016.mp3
gujarati,"gujarati6,",https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1143,"kutch, gujarat, india (map)",gujarati (guj),kutchi hindi,"29, male",5,naturalistic,"india,usa",23 years,https://accent.gmu.edu/soundtracks/gujarati6.mp3,reference/gujarati6__1143.mp3
gujarati,"gujarati7,",https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1504,"hyderabad, india (map)",gujarati (guj),hindi kannada,"40, female",4,academic,usa,16 years,https://accent.gmu.edu/soundtracks/gujarati7.mp3,reference/gujarati7__1504.mp3
gujarati,"gujarati8,",https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1678,"ahmedabad, india (map)",gujarati (guj),hindi spanish,"27, female",7,academic,usa,20 years,https://accent.gmu.edu/soundtracks/gujarati8.mp3,reference/gujarati8__1678.mp3
gujarati,"gujarati9,",https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2041,"surat, india (map)",gujarati (guj),hindi sanskrit,"19, male",9,academic,usa,1.5 years,https://accent.gmu.edu/soundtracks/gujarati9.mp3,reference/gujarati9__2041.mp3
gujarati,"gujarati10,",https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2292,"bombay, india (map)",gujarati (guj),hindi marathi,"24, male",7,naturalistic,usa,5.5 years,https://accent.gmu.edu/soundtracks/gujarati10.mp3,reference/gujarati10__2292.mp3
