model,rank,reference_type,feature,normalization,pearson_r,r_squared,n_valid_frames,n_finite_frames,n_outliers_dropped
openvoice,top5,style,H1H2c,reference_phone_gender_zscore,0.07647942002494035,0.005849101687351247,5887,6050,163
openvoice,top5,style,H2H4c,reference_phone_gender_zscore,0.09219291029798969,0.008499532709213173,5521,6050,529
openvoice,top5,style,H42Kc,reference_phone_gender_zscore,0.08101013201380416,0.006562641488893978,6036,6050,14
openvoice,top5,style,H2KH5Kc,reference_phone_gender_zscore,-0.03525278882708302,0.0012427591200869093,5977,6050,73
openvoice,top5,style,HNR05,reference_phone_gender_zscore,0.08850580751606957,0.007833277964071557,5880,6083,203
openvoice,top5,style,HNR15,reference_phone_gender_zscore,0.08562206329241442,0.007331137722450222,5954,6083,129
openvoice,top5,style,HNR25,reference_phone_gender_zscore,0.20812386941187264,0.04331554501897021,5912,6083,171
openvoice,top5,style,HNR35,reference_phone_gender_zscore,0.21071291852762578,0.04439993403442986,5946,6083,137
openvoice,top5,style,sF1,reference_phone_gender_zscore,0.21692495114209576,0.04705643442800063,7588,8094,506
openvoice,top5,style,sF2,reference_phone_gender_zscore,0.29647359999203987,0.08789659549224006,7601,8094,493
openvoice,top5,style,sF3,reference_phone_gender_zscore,0.16338402328829862,0.026694339065871306,7169,8094,925
openvoice,top5,style,sF4,reference_phone_gender_zscore,-0.004167938248603686,1.737170924417356e-05,7380,8094,714
openvoice,top5,style,sB1,reference_phone_gender_zscore,0.10445089514014168,0.010909989495576873,7726,8094,368
openvoice,top5,style,sB2,reference_phone_gender_zscore,0.06478835172936487,0.004197530519807896,7281,8094,813
openvoice,top5,style,sB3,reference_phone_gender_zscore,0.1554427943398561,0.024162462312182803,7627,8094,467
openvoice,top5,style,sB4,reference_phone_gender_zscore,-0.008620013383992356,7.430463074020735e-05,7361,8094,733
openvoice,top5,style,sF0,reference_phone_gender_zscore,0.21597921306534126,0.04664702047632408,6941,8094,1153
openvoice,top5,style,CPP,reference_phone_gender_zscore,0.16799840080302905,0.02822346267237519,5978,6083,105
openvoice,top5,style,Energy,reference_phone_gender_zscore,0.2992863053658045,0.08957229257951356,6646,6953,307
openvoice,bottom5,style,H1H2c,reference_phone_gender_zscore,0.20274667250468348,0.04110621321172137,6610,6847,237
openvoice,bottom5,style,H2H4c,reference_phone_gender_zscore,0.05721157385357085,0.0032731641828025915,6306,6847,541
openvoice,bottom5,style,H42Kc,reference_phone_gender_zscore,0.047945354597144975,0.0022987570274459706,6737,6847,110
openvoice,bottom5,style,H2KH5Kc,reference_phone_gender_zscore,-0.12073369245289295,0.01457662449330974,6737,6847,110
openvoice,bottom5,style,HNR05,reference_phone_gender_zscore,0.08230087576575648,0.006773434151810483,6553,6871,318
openvoice,bottom5,style,HNR15,reference_phone_gender_zscore,0.09509134857148827,0.009042364573144283,6672,6871,199
openvoice,bottom5,style,HNR25,reference_phone_gender_zscore,0.0755445427872217,0.005706977944930369,6656,6871,215
openvoice,bottom5,style,HNR35,reference_phone_gender_zscore,0.08918159213763678,0.007953356376203799,6590,6871,281
openvoice,bottom5,style,sF1,reference_phone_gender_zscore,0.19857393156329023,0.03943160629650227,7837,8123,286
openvoice,bottom5,style,sF2,reference_phone_gender_zscore,0.1797120139956537,0.03229640797437403,7519,8123,604
openvoice,bottom5,style,sF3,reference_phone_gender_zscore,-0.04627697583392752,0.002141558492333912,6954,8123,1169
openvoice,bottom5,style,sF4,reference_phone_gender_zscore,-0.09874880104689104,0.00975132570819847,7610,8123,513
openvoice,bottom5,style,sB1,reference_phone_gender_zscore,0.18475901114345825,0.03413589219870853,7718,8123,405
openvoice,bottom5,style,sB2,reference_phone_gender_zscore,0.017042879085537317,0.0002904597275242453,7227,8123,896
