model,rank,reference_type,feature,normalization,pearson_r,r_squared,n_valid_frames,n_finite_frames,n_outliers_dropped
openvoice,top5,timbre,H1H2c,reference_phone_gender_zscore,0.2707610891848207,0.07331156741655044,5131,5152,21
openvoice,top5,timbre,H2H4c,reference_phone_gender_zscore,0.16725920740395978,0.027975642461400833,5152,5152,0
openvoice,top5,timbre,H42Kc,reference_phone_gender_zscore,-0.022433061952465996,0.0005032422685631774,5113,5152,39
openvoice,top5,timbre,H2KH5Kc,reference_phone_gender_zscore,0.19612840959073463,0.038466353048590966,5131,5152,21
openvoice,top5,timbre,HNR05,reference_phone_gender_zscore,0.2275795720794804,0.05179246162787941,5167,5175,8
openvoice,top5,timbre,HNR15,reference_phone_gender_zscore,0.16002677876421756,0.025608569921651832,5174,5175,1
openvoice,top5,timbre,HNR25,reference_phone_gender_zscore,0.15057984102735208,0.022674288523822625,5162,5175,13
openvoice,top5,timbre,HNR35,reference_phone_gender_zscore,0.2149949371762007,0.04622282301139848,5153,5175,22
openvoice,top5,timbre,sF1,reference_phone_gender_zscore,0.33882850229003025,0.11480475396410504,6820,6976,156
openvoice,top5,timbre,sF2,reference_phone_gender_zscore,0.19557731674437184,0.03825048682492835,6773,6976,203
openvoice,top5,timbre,sF3,reference_phone_gender_zscore,0.187197531079609,0.03504291564230117,6953,6976,23
openvoice,top5,timbre,sF4,reference_phone_gender_zscore,0.12804070425631,0.016394421946451843,6976,6976,0
openvoice,top5,timbre,sB1,reference_phone_gender_zscore,0.19550938388908487,0.03822391918868956,6318,6976,658
openvoice,top5,timbre,sB2,reference_phone_gender_zscore,0.08853682080466294,0.007838768638196996,6158,6976,818
openvoice,top5,timbre,sB3,reference_phone_gender_zscore,0.1891138765641808,0.035764058309132214,6616,6976,360
openvoice,top5,timbre,sB4,reference_phone_gender_zscore,-0.10986281587843476,0.012069838312738857,6856,6976,120
openvoice,top5,timbre,sF0,reference_phone_gender_zscore,0.28137066860341076,0.0791694531503304,6837,6976,139
openvoice,top5,timbre,CPP,reference_phone_gender_zscore,0.23051516502511638,0.053137241306556636,5134,5175,41
openvoice,top5,timbre,Energy,reference_phone_gender_zscore,0.24053850327325968,0.057858771556939956,5313,5915,602
openvoice,bottom5,timbre,H1H2c,reference_phone_gender_zscore,0.2080947503715404,0.043303425132193714,6093,6093,0
openvoice,bottom5,timbre,H2H4c,reference_phone_gender_zscore,-0.063851549421349,0.004077020363506974,5993,6093,100
openvoice,bottom5,timbre,H42Kc,reference_phone_gender_zscore,0.14999952445257878,0.022499857335999778,5994,6093,99
openvoice,bottom5,timbre,H2KH5Kc,reference_phone_gender_zscore,0.09720680589499561,0.009449163112307354,6016,6093,77
openvoice,bottom5,timbre,HNR05,reference_phone_gender_zscore,0.23942298228213957,0.057323364444873716,6107,6118,11
openvoice,bottom5,timbre,HNR15,reference_phone_gender_zscore,0.06333146221793962,0.004010874106662313,6118,6118,0
openvoice,bottom5,timbre,HNR25,reference_phone_gender_zscore,0.05382638501462572,0.0028972797237427246,6086,6118,32
openvoice,bottom5,timbre,HNR35,reference_phone_gender_zscore,0.0759626060750441,0.005770317521712327,6056,6118,62
openvoice,bottom5,timbre,sF1,reference_phone_gender_zscore,0.030238892947500182,0.0009143906466903762,6856,7205,349
openvoice,bottom5,timbre,sF2,reference_phone_gender_zscore,0.18352413373694018,0.0336811076638943,7000,7205,205
openvoice,bottom5,timbre,sF3,reference_phone_gender_zscore,0.06642018482002186,0.004411640951525863,7134,7205,71
openvoice,bottom5,timbre,sF4,reference_phone_gender_zscore,0.10525616772676179,0.01107886084452421,7205,7205,0
openvoice,bottom5,timbre,sB1,reference_phone_gender_zscore,0.22706307530753425,0.05155764016811497,6280,7205,925
openvoice,bottom5,timbre,sB2,reference_phone_gender_zscore,0.006778164341078417,4.594351183466701e-05,6522,7205,683
openvoice,bottom5,timbre,sB3,reference_phone_gender_zscore,-0.005566068809968753,3.098112199730697e-05,6816,7205,389
openvoice,bottom5,timbre,sB4,reference_phone_gender_zscore,0.06806345016037962,0.004632633247734481,7031,7205,174
openvoice,bottom5,timbre,sF0,reference_phone_gender_zscore,0.5700516197732367,0.32495884920609086,6379,7205,826
openvoice,bottom5,timbre,CPP,reference_phone_gender_zscore,0.199015870251426,0.03960731661193243,6101,6118,17
openvoice,bottom5,timbre,Energy,reference_phone_gender_zscore,0.28050916337659054,0.07868539073823476,5541,6710,1169
seed_vc,top5,timbre,H1H2c,reference_phone_gender_zscore,0.5451075651718926,0.2971422576076292,6212,6212,0
seed_vc,top5,timbre,H2H4c,reference_phone_gender_zscore,0.2404985744150187,0.05783956429565629,6105,6212,107
seed_vc,top5,timbre,H42Kc,reference_phone_gender_zscore,0.11532444840059863,0.013299728398902337,6140,6212,72
seed_vc,top5,timbre,H2KH5Kc,reference_phone_gender_zscore,0.20754532777638873,0.04307506308180863,6151,6212,61
seed_vc,top5,timbre,HNR05,reference_phone_gender_zscore,0.44752251191203934,0.2002763986680614,6222,6227,5
seed_vc,top5,timbre,HNR15,reference_phone_gender_zscore,0.27353473129593936,0.07482124922514174,6224,6227,3
seed_vc,top5,timbre,HNR25,reference_phone_gender_zscore,0.23450743071977556,0.05499373506279034,6227,6227,0
seed_vc,top5,timbre,HNR35,reference_phone_gender_zscore,0.18551986878994475,0.034417621715838315,6225,6227,2
seed_vc,top5,timbre,sF1,reference_phone_gender_zscore,0.3674731012468035,0.1350364801399435,7832,7879,47
seed_vc,top5,timbre,sF2,reference_phone_gender_zscore,0.42760574026765286,0.1828466691098474,7570,7879,309
seed_vc,top5,timbre,sF3,reference_phone_gender_zscore,-0.06488291877576555,0.00420979314886259,7828,7879,51
seed_vc,top5,timbre,sF4,reference_phone_gender_zscore,0.10787833087984706,0.011637734273421765,7846,7879,33
seed_vc,top5,timbre,sB1,reference_phone_gender_zscore,0.3604553550091144,0.1299280629547467,7011,7879,868
seed_vc,top5,timbre,sB2,reference_phone_gender_zscore,0.29690540461369497,0.08815281928882192,6985,7879,894
seed_vc,top5,timbre,sB3,reference_phone_gender_zscore,0.13625473529287266,0.0185653528897308,7371,7879,508
seed_vc,top5,timbre,sB4,reference_phone_gender_zscore,0.2141735396108351,0.04587030506943395,7724,7879,155
seed_vc,top5,timbre,sF0,reference_phone_gender_zscore,0.5301988557537225,0.28111082664255665,7053,7879,826
seed_vc,top5,timbre,CPP,reference_phone_gender_zscore,0.2959378374695023,0.08757920364612556,6227,6227,0
seed_vc,top5,timbre,Energy,reference_phone_gender_zscore,0.39149387459178436,0.15326745384288779,6061,7093,1032
seed_vc,bottom5,timbre,H1H2c,reference_phone_gender_zscore,0.3194780716384019,0.10206623825779186,6196,6203,7
seed_vc,bottom5,timbre,H2H4c,reference_phone_gender_zscore,0.043795383892814906,0.0019180356503190313,6176,6203,27
seed_vc,bottom5,timbre,H42Kc,reference_phone_gender_zscore,0.04964033004825662,0.0024641623672998487,6148,6203,55
seed_vc,bottom5,timbre,H2KH5Kc,reference_phone_gender_zscore,0.07524996455761682,0.005662557165922587,6203,6203,0
seed_vc,bottom5,timbre,HNR05,reference_phone_gender_zscore,0.38346631146888854,0.14704641203155464,6230,6269,39
seed_vc,bottom5,timbre,HNR15,reference_phone_gender_zscore,0.30852521769993796,0.09518780995679411,6260,6269,9
seed_vc,bottom5,timbre,HNR25,reference_phone_gender_zscore,0.36738985390414397,0.13497530475170824,6263,6269,6
seed_vc,bottom5,timbre,HNR35,reference_phone_gender_zscore,0.3977612469932071,0.1582140096095911,6264,6269,5
seed_vc,bottom5,timbre,sF1,reference_phone_gender_zscore,0.27981626442073965,0.07829714183437729,7140,7249,109
seed_vc,bottom5,timbre,sF2,reference_phone_gender_zscore,-0.050975611484087635,0.0025985129661766472,7132,7249,117
seed_vc,bottom5,timbre,sF3,reference_phone_gender_zscore,0.09501096905410975,0.009027084240601,7118,7249,131
seed_vc,bottom5,timbre,sF4,reference_phone_gender_zscore,0.17551058983488632,0.030803967144189703,7249,7249,0
