model,rank,feature,median_rti,ci_low,ci_high,output_timbre_pairs
openvoice,top5,H1H2c,1.4236257617576573,0.8514620169293047,2.1155933817639068,10
openvoice,top5,H2H4c,0.9819749472538642,0.5666067838809897,1.6322492077417694,10
openvoice,top5,H42Kc,1.4521984528036258,0.7653657687310378,1.9424978276290747,10
openvoice,top5,H2KH5Kc,1.9073792928751987,1.077033863946771,4.172205847891147,10
openvoice,top5,HNR05,1.295645180045964,0.9485631536036622,1.9974143530431687,10
openvoice,top5,HNR15,1.5732312128301245,0.9861031224550274,1.8192351849632464,10
openvoice,top5,HNR25,1.4337071650833013,1.1222333720389426,1.786990130193105,10
openvoice,top5,HNR35,1.400730450510414,1.0459508790328405,2.032999237540732,10
openvoice,top5,sF1,1.3754869792933235,0.9968805356537872,2.266587051994893,10
openvoice,top5,sF2,1.6113061612307509,0.8290541474421348,2.920633355701436,10
openvoice,top5,sF3,1.4682834962264284,0.7811515793981562,2.997817342787961,10
openvoice,top5,sF4,1.2525623323015012,0.5956944492852537,3.5801436427967426,10
openvoice,top5,sB1,0.7446054974464174,0.4746632286159375,1.101908751633907,10
openvoice,top5,sB2,0.8292336337473436,0.4941661851985173,1.127296780864849,10
openvoice,top5,sB3,0.907013951924788,0.6659936164225045,1.456110225135333,10
openvoice,top5,sB4,1.08213425191357,0.829949029471845,1.6454837254288228,10
openvoice,top5,sF0,1.0929043655003645,0.6863291098826916,1.4306838903215446,10
openvoice,top5,CPP,1.1725330451443483,0.9427346912290493,1.7368309697637947,10
openvoice,top5,Energy,1.471876356923335,1.0027520840936792,1.539221250078883,10
seed_vc,top5,H1H2c,1.5950559997526765,1.1850208298584683,2.2655753142973625,10
seed_vc,top5,H2H4c,1.6561230712764572,1.1743971512442655,2.0949157849351856,10
seed_vc,top5,H42Kc,1.598834576478175,0.8764002017796075,2.571929166211505,10
seed_vc,top5,H2KH5Kc,1.972931894984357,1.0242922694453602,3.2721696126025788,10
seed_vc,top5,HNR05,1.0941041364993032,0.8396445899413709,1.3660879772836467,10
seed_vc,top5,HNR15,0.9997786709265124,0.6748431272406074,1.4408855794953017,10
seed_vc,top5,HNR25,1.1839526710242583,0.9278537221510454,1.641426275169024,10
seed_vc,top5,HNR35,1.2856626604630537,0.9711092331413591,1.5086671077763523,10
seed_vc,top5,sF1,1.5163856587575284,0.9403137053349802,2.734275516076333,10
seed_vc,top5,sF2,1.1385577185491917,0.7855339217871922,2.2310875360812696,10
seed_vc,top5,sF3,1.7113278544248325,1.1916321720881642,3.3371556464091685,10
seed_vc,top5,sF4,1.3473332628708872,1.1431802380270915,2.2167349753804135,10
seed_vc,top5,sB1,0.8355720653340551,0.5034828250285786,1.3012521934644043,10
seed_vc,top5,sB2,0.7132051647037356,0.5843351157944979,1.0436143709412835,10
seed_vc,top5,sB3,0.8468582109416001,0.7040069914460487,1.400959509771158,10
seed_vc,top5,sB4,0.8987975481957917,0.6893248784150559,1.3647203678541402,10
seed_vc,top5,sF0,1.146704949158119,0.5802210174389288,2.324453590398209,10
seed_vc,top5,CPP,0.8639619932863509,0.669121920526716,1.4457892591038102,10
seed_vc,top5,Energy,1.2460059474438907,0.6447449510195296,2.848678557847425,10
openvoice,bottom5,H1H2c,1.571526539431595,0.7619012235567729,2.6648089422672405,10
openvoice,bottom5,H2H4c,1.4428011298836587,1.072781121391841,1.739658243458266,10
openvoice,bottom5,H42Kc,1.0287847383795985,0.8011993955956229,1.496329033187109,10
openvoice,bottom5,H2KH5Kc,1.758562075664118,1.204507562828315,2.4626166406358716,10
openvoice,bottom5,HNR05,1.8511505417280678,1.6017982863599138,2.6039324575421716,10
openvoice,bottom5,HNR15,1.99504838045128,1.4814439293120125,2.6124039908755634,10
openvoice,bottom5,HNR25,1.8979294891705385,1.516668005921364,2.360603399415564,10
openvoice,bottom5,HNR35,2.1924957061099786,1.8278020470714669,2.7033790675381333,10
openvoice,bottom5,sF1,1.673803909836502,1.1065811891025419,2.088753873828008,10
openvoice,bottom5,sF2,1.3410707327214113,1.0284485220635635,2.326317714659182,10
openvoice,bottom5,sF3,1.0558817489022323,0.8053105476365543,2.1602750866373923,10
openvoice,bottom5,sF4,1.7435122310951812,0.951932995497983,3.151202789423956,10
openvoice,bottom5,sB1,0.5653332822438304,0.43995803090993113,0.8483454094260932,10
openvoice,bottom5,sB2,0.7229407376390721,0.41629759845611836,1.010707463989118,10
openvoice,bottom5,sB3,0.8732298604333453,0.6091479611461897,1.3482298958041972,10
openvoice,bottom5,sB4,0.8437803288789842,0.6712559046363795,1.3198030353931773,10
openvoice,bottom5,sF0,0.8743279673741131,0.5755600780825437,1.7559962706379872,10
openvoice,bottom5,CPP,1.477399496803972,0.9139733101659596,1.8991440671589193,10
openvoice,bottom5,Energy,1.2830112726072418,0.7312860293183834,1.6888383666066389,10
seed_vc,bottom5,H1H2c,1.0766244845510333,0.5352562251420874,1.2384059899397644,10
seed_vc,bottom5,H2H4c,0.9582495129315782,0.7571312089949224,1.708931760495594,10
seed_vc,bottom5,H42Kc,1.4913935068645603,0.674379214292936,2.5632626976849147,10
seed_vc,bottom5,H2KH5Kc,1.6517036714560835,1.2611082416396724,2.525861207548429,10
seed_vc,bottom5,HNR05,0.8392320993112777,0.4400201905822012,1.5795568915623415,10
